text,lang,id,political,racial/ethnic,religious,gender/sexual,vilification,dehumanization,extreme_language,lack_of_empathy,stereotype,invalidation,other,polarization
@ICC Latest design of #WC2019 trophy. #CWC2019 #CWC19 #ShameOnICC https://t.co/g3mRuphBzE,eng,hasoc_en_7,0,0,0,0,0,0,0,0,0,0,0,0
#ADOS #trendingnow #blacklivesmatter #justice #fucktrump  ‘Central Park Five’ Prosecutor Elizabeth Lederer Out at Columbia Law School https://t.co/7S1Lu7wi53,eng,hasoc_en_8,0,0,0,0,0,0,0,0,0,0,0,0
By wearing the #BalidaanBadge over his gloves @msdhoni has shown his love &amp,eng,hasoc_en_10,0,0,0,0,0,0,0,0,0,0,0,0
I don’t know how much more I can take! 45 is a compulsive liar! #Trump30Hours #TrumpIsATraitor,eng,hasoc_en_12,0,0,0,0,0,0,0,0,0,0,0,0
#ShameOnICC@ICC WINNER TEAM-RAIN  ICC RUN UP TEAM-RAIN  ICC MAN OF THE MATCH-RAIN  ICC MAN OF THE SERIES-RAIN  BEST BOWLER-RAIN  BEST WICKETKEPER-RAIN https://t.co/nEL5SXz6om,eng,hasoc_en_13,0,0,0,1,0,0,0,0,0,0,0,1
@narendramodi  @pmoindia_namo  @narendramodi  @PMOIndia  @AmitShah  @RamNanthKobind  Grevious assault on jr doctors in all medical colleges in WB. No action being taken for safety security and justice. PM sir please intervene asap.  #Savethedoctors  #Doct,eng,hasoc_en_14,0,0,0,0,0,0,0,0,0,0,0,0
ICC denies request from BCCI to allow MSD wear gloves with Army insignia.    @ICC @BCCI #DhoniKeepTheGlove #DhoniKeepsTheGlove,eng,hasoc_en_15,0,0,0,0,0,0,0,0,0,0,0,0
Good work @ICC keep going just destroy the whole fucking world cup #ShameOnICC https://t.co/ELvq7PAuY9,eng,hasoc_en_16,0,0,0,0,0,0,0,0,0,0,0,0
@ICC  @BCCI  What about Virat Kholi tattoos 😂😂    #DhoniKeepsTheGlove https://t.co/hGaAB9GCyD,eng,hasoc_en_19,0,0,0,0,0,0,0,0,0,0,0,0
Which is more important?  #IndiaWithDhoni   #DhoniKeepsTheGlove https://t.co/Iib4R9P0qn,eng,hasoc_en_20,0,0,0,0,0,0,0,0,0,0,0,0
@KBMteam @iowaspeedway @HBurtonRacing @rileyherbst @ToddGilliland_ @CSmithDrive @rileyherbst is gonna crash. #Douchebag,eng,hasoc_en_21,0,0,0,0,0,0,0,0,0,0,0,0
Harbor N Bay Mens Boxer Short Pack of 2 @ Rs.299    https://t.co/tceazILuQp    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,eng,hasoc_en_22,0,0,0,0,0,0,0,0,0,0,0,0
ICC turns down #BCCI's request to allow @msdhoni to continue wearing the army insignia on his wicket-keeping gloves,eng,hasoc_en_23,0,0,0,0,0,0,0,0,0,0,0,0
#ShameOnICC  1. ICC on Dhoni's gloves                    Vs  2.ICC planning the World Cup https://t.co/4kO3zKt7ln,eng,hasoc_en_24,0,0,0,0,0,0,0,0,0,0,0,0
Senior #Doctors of #RGKar greeted with applause &amp,eng,hasoc_en_25,0,0,0,0,0,0,0,0,0,0,0,0
Empty podiums make too much noise     #ToryLeadershipDebate #UKPM #BorisJohnsonShouldNotBePM #Leadersdebate #GTTO #JC4PM2019 #frightnight https://t.co/aDgCqhdDTl,eng,hasoc_en_26,0,0,0,0,0,0,0,0,0,0,0,0
#ShameOnICC #iccworldcup2019 world cup reality https://t.co/MhPD5gDVze,eng,hasoc_en_27,0,0,0,0,0,0,0,0,0,0,0,0
Disgusting! And they don’t change their culture or come up with vetting system or preventative ways to stop this from occurring. This will continue to happen. The Catholic Church needs to go! #rapist #ChildTrafficking #CatholicChurch #CatholicTwitter https://t.co/tb4tSoD2Lz,eng,hasoc_en_28,0,0,1,0,0,0,0,0,0,0,0,1
GOQii VITAL - Colour Display Blood Pressure Monitor  @ Rs.1999 (mrp-3499)    https://t.co/f9OHrx9kd2    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,eng,hasoc_en_29,0,0,0,0,0,0,0,0,0,0,0,0
500 doctors have already resigned in #Bengal.    NRS 100  SSKM 175  National medical college 20  RG Kar 126  North Bengal college 119  Murshidabad 50  Rampurhat 37  Burdwan 26    #DoctorsFightBack #SaveTheDoctors,eng,hasoc_en_30,0,0,0,0,0,0,0,0,0,0,0,0
@realDonaldTrump fuck you and go fuck yourself you piece of shit someone get this asshole a jail cell for his birthday #ImpeachTrumpNow #fucktrump #dickstaindonald #DerangedDonald https://t.co/41eFBCu2uD,eng,hasoc_en_33,0,0,0,0,0,0,0,0,0,0,0,0
Donald Trump lies.  #TrumpIsATraitor   Happy #JohnMcCainDay ! https://t.co/uaFNXVT2m5 https://t.co/WeBD6lhm54,eng,hasoc_en_34,1,0,0,0,0,0,0,0,0,0,0,1
The Telegraph´s use of the word ´crown´ with regard to Boris Johnson just says it all.  #BorisJohnsonShouldNotBePM   https://t.co/ynmm0Ryugq,eng,hasoc_en_36,0,0,0,0,0,0,0,0,0,0,0,0
@timesofindia No worries @timesofindia because there will be on only one winner   And that is  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  Rains🤷   #ShameOnICC   .  .  .  .,eng,hasoc_en_38,0,0,0,0,0,0,0,0,0,0,0,0
Will @ImRo45 score a 100 again today?  Predict @ https://t.co/miljukaKu1 and win prizes.   #INDvAUS #DhoniKeepsTheGlove   #DhoniAtCWC19 https://t.co/rZ1dlFsKOX,eng,hasoc_en_39,0,0,0,0,0,0,0,0,0,0,0,0
DON'T support a country Who has Concentration Camps againts small etnich groups and religions      DON'T support the violencie and discrimination 🚫    #HumanRights #BoycottChina #StopRacismo #Diversity #China #EndHate #StopViolence https://t.co/FLmiZWIFjY,eng,hasoc_en_40,0,0,0,0,0,0,0,0,0,0,0,0
@ashwinnagar @MamataOfficial For interest of puplic she is speaking #DoctorsFightBack #doctors @MamataOfficial #MamataBanarjee,eng,hasoc_en_42,0,0,0,0,0,0,0,0,0,0,0,0
Now if all remaining matches will get washed   NZ - 12  Ind - 11  Eng - 10  Aus - 10  WI - 9  SL - 9  Pak - 9  Ban - 8   SA - 6  Afg - 6    Semis  Aus vs NZ (If rain doesn't stop)  NZ  Eng vs Ind (If rain doesn't stop)  Ind    Final  Ind vs NZ (If rain doesn't stop)  NZ - India will win #ShameOnICC,eng,hasoc_en_43,0,0,0,0,0,0,0,0,0,0,0,0
@Werdnat This crazy Manbaby will probably paint it gold.  Not gawdy at all.    #ihate45   #worstPresidentever   #weaselheadedfucknugget   #shutyourshithole   #fucktrump   #yousuck   #liarinchief   #noclass   #moron   #ridusofthisdisease  #UnfollowTrump  ┌,eng,hasoc_en_44,0,0,0,0,0,0,0,0,0,0,0,0
This is everything. #fucktrump https://t.co/e2C48U3pss,eng,hasoc_en_45,0,0,0,0,0,0,0,0,0,0,0,0
@AMISHDEVGAN Where were the IMA &amp,eng,hasoc_en_46,0,0,0,0,0,0,0,0,0,0,0,0
Hey Trump ! These lovely ladies got something to tell ya ....  #FUCKTRUMP https://t.co/s1WhlaPaMf,eng,hasoc_en_47,1,0,0,0,0,0,0,0,0,0,0,1
So basically he’s not vegan #dickhead 🙄 https://t.co/Z2SPDxudxp,eng,hasoc_en_49,0,0,0,0,0,0,0,0,0,0,0,0
@TheRealOJ32 The world will rejoice when you die. #murderer #classless,eng,hasoc_en_50,0,0,0,0,0,0,1,0,0,0,1,1
Acoustic &amp,eng,hasoc_en_51,0,0,0,0,0,0,0,0,0,0,0,0
https://t.co/soiOMk5pal    “This ruling sends a clear message that Muslim voices will not be silenced by threats and hate.” - @DeanObeidallah via @WashTimes     @MuslimAdvocates helped represent Mr. Obeidallah.     #AntiMuslim #Islamophobia #Justice https://t.co/9oV1I1zxev,eng,hasoc_en_53,0,0,1,0,0,0,0,0,0,0,0,1
Mamta ji pls don't drag Muslims in this case no one said they won't treat any particular religion   I am  a muslim pls stop speculating situation based on religion  Stop playing bloody politics   #MamtaBanerjee #DoctorsFightBack #India #westbengal #trinamool,eng,hasoc_en_55,0,0,1,0,0,0,0,0,0,0,0,1
Well come to New Pakistan with new rates   #Budget2019 #PTIGovernment #imranhataomulkbachao https://t.co/Jj2Ip6YvSZ,eng,hasoc_en_57,0,0,0,0,0,0,0,0,0,0,0,0
@realDonaldTrump Just this: T.R.U.M.P  is ...    GOOD! HE SHOULD BE!    #TrumpIsATraitor https://t.co/5LbpbOCrdg,eng,hasoc_en_58,0,0,0,0,0,0,0,0,0,0,0,0
All the best to #TeamIndia for another swimming competition on Sunday against   #India 🇮🇳 #Pakistan. 🇵🇰     #INDvPAK #ShameOnICC  #CWC19 #CWC19Rains ☔☔ https://t.co/LmI5bnCCvR,eng,hasoc_en_60,0,0,0,0,0,0,0,0,0,0,0,0
Unisex Anti Trump AF T-Shirt in Extended Sizes - Small up to 5x https://t.co/cCONVvIIWf  #fucktrump #antitrump #votebluenomatterwho https://t.co/oQkq0Ya6Gy,eng,hasoc_en_61,1,0,0,0,0,0,0,0,0,0,0,1
@ICC @bira91 This world cup 19 should be ban !! 😡😡 Rain rain rain motherfuckerr ICC   Shift this world to another country or ban this world cup 19 😡😡   #ShameOnICC 😡😡,eng,hasoc_en_62,0,0,0,0,0,0,1,0,0,0,1,1
Learn how to cover up the ground #ShameOnICC,eng,hasoc_en_63,0,0,0,0,0,0,0,0,0,0,0,0
Gee... where have we seen this before? #fucktrump #ImpeachDonaldTrumpNOW Leaked docs reveal Russian effort to exert influence in Africa  https://t.co/Hb5krYqkIB,eng,hasoc_en_66,0,0,0,0,0,0,0,0,0,0,0,0
#dirtyjohn #bravo holy crap the guy was in #LosGatos and that's in my neck of the woods it's #siliconvalley #sanjose #scary #murderer,eng,hasoc_en_68,0,0,0,0,0,0,0,0,0,0,0,0
#ShameOnICC: Indian Fans Unleash Their Wrath Upon ICC After Another World Cup Washout https://t.co/UeO1Iy22cr,eng,hasoc_en_69,0,0,0,0,0,0,0,0,0,0,0,0
Throwback to the time when Pak dedicated an entire match to its army and the ICC didn't even flinch. India must not be pressured by ICC and change #Dhoni gloves. Don't let Pak win. Boycott the WC India!    #DhoniKeepTheGlove #DhoniKeepsTheGlove #DhoniKeSaathDesh #DhoniKeepTheGloves https://t.co/pcJdN21liN,eng,hasoc_en_70,0,0,0,0,0,0,0,0,0,0,0,0
I want to know too!  Thanks @AOC for asking these questions !  #FuckTrump #BeBest #OrangeFoolius. https://t.co/FLZlaqdSLt,eng,hasoc_en_71,0,0,0,0,0,0,0,0,0,0,0,0
We don't need a special law. WE NEED PROPER UNBIASED ENFORCEMENT OF EXISTING LAWS. Once they are applied properly  and people jailed there will be deterrence.  We doctors must win back the trust of the people. This will ensure political support for us.  #DoctorsFightBack,eng,hasoc_en_72,0,0,0,0,0,0,0,0,0,0,0,0
Top 50 hashtags mentioning @realDonaldTrump for 2019-06-15 07:00 to 2019-06-15 15:00 GMT+0  #MAGA #JohnMcCainDay #Trump2020 #DerangedDonald #Trump #TrumpIsATraitor #ImpeachTrumpNow #WWG1WGA #RT #ImpeachTrump   https://t.co/CSJrZiSfsH,eng,hasoc_en_73,1,0,0,0,0,0,0,0,0,0,0,1
@jimsciutto @RepMcCaul Except... Trump’s hand has already been caught in the cookie jar trying to get “dirt” on an opponent from Russia.     Remember... Trump Tower?     #TrumpIsATraitor   #ImpeachmentHearingsNow https://t.co/AWvmmEqN2F,eng,hasoc_en_75,1,0,0,0,0,0,0,0,0,0,0,1
Livpure Glo 7L RO+UV + Mineralizer Water Purifier  @ Rs.9499 (mrp-15990)    https://t.co/iNAuUJY5tX    More:  https://t.co/Qw2tZtN8Lx    https://t.co/iNAuUJY5tX    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,eng,hasoc_en_77,0,0,0,0,0,0,0,0,0,0,0,0
Ted Bundy’s final meal. He didn’t even pick at it. #execution #murderer #killer #tedbundy #breakfast #lethalinjection https://t.co/xJ4LrWmcph,eng,hasoc_en_79,0,0,0,0,0,0,0,0,0,0,0,0
Dear @ICC this is world cup not a club cricket so please check the umpiring errors instead of @msdhoni gloves.  #DhoniKeepsTheGlove #DhoniKeepTheGlove   #DhoniKeSaathDesh,eng,hasoc_en_81,0,0,0,0,0,0,0,0,0,0,0,0
#INDvsNZ toss be like....#ShameOnICC https://t.co/aO6mN6OEl7,eng,hasoc_en_82,0,0,0,0,0,0,0,0,0,0,0,0
Boris Johnson = chaos  @RoryStewartUK  = stability    It really is as simple as that! #Toryleadership #BorisJohnsonShouldNotBePM https://t.co/Uv37w5YMVC,eng,hasoc_en_84,0,0,0,0,0,0,0,0,0,0,0,0
#DhoniKeepsTheGlove     What's wrong with @ICC??   Dhoni is first a soldier then a cricketer.....   @BCCI,eng,hasoc_en_85,0,0,0,0,0,0,1,0,0,0,1,1
#DoctorsFightBack #PresidentsRule is only option TMC goons r not in control of @mamt https://t.co/XZvOa2LaO5,eng,hasoc_en_86,0,0,0,0,0,0,0,0,0,0,0,0
@ICC why is it okay? #DhoniKeepsTheGlove #DhoniKeSaathDesh https://t.co/my3pMe9x2O,eng,hasoc_en_87,0,0,0,0,0,0,0,0,0,0,0,0
You #supportdhoni  #MSDHONI  #DhoniKeSaathDesh  #Dhoni ???  #BCCI  #CWC19  #DhoniKeepTheGloves  #DhoniKeepsTheGlove  #DhoniKeepBalidaanBadgeGlove  #BalidanBadge  #Balidan  #bbccricket  #CricketWorldCup2019  #WorldCup2019    Retweet 🔄 for #msdhonigloves   Like 👍 👇,eng,hasoc_en_88,0,0,0,0,0,0,1,0,0,0,1,1
@cbouzy Did my part.    #Murderer,eng,hasoc_en_89,0,0,0,0,0,0,0,0,0,0,0,0
Hypocrisy of the Indian elite    #SaveBengal #Savethedoctors #India #MamataLosingControl #MamataBanerjee #Kolkata #WestBengal #BengalDoctorsStrike @MamataOfficial @BJPBengal @NewIndianXpress @TimesNow @republic #democracy #DoctorsFightBack #DoctorsStrike #DoctorsProtest https://t.co/OEDcx2uCeq,eng,hasoc_en_90,0,0,0,0,0,0,0,0,0,0,0,0
5000+ Doctors and Non Medicos walked from NRS to CNMC for our cause.   History has been created as this is probably one of the biggest movement that has been carried out by the doctors.   #DoctorsFightBack https://t.co/QVZ12X03ma https://t.co/OKgUzp5JRa,eng,hasoc_en_91,0,0,0,0,0,0,0,0,0,0,0,0
@realDonaldTrump Destroy our country?  More like defending our country against a treasonous traitor in the white house!    #TrumpIsATraitor   #TrumpTaxes  #TrumpsAnInternationalDisgrace   #TrumpMustResign,eng,hasoc_en_92,0,1,0,0,0,0,0,0,0,0,0,1
Gabor nails it again. A voice of reason.  #BorisJohnsonShouldNotBePM https://t.co/OzkGK5vL7n,eng,hasoc_en_93,0,0,0,0,0,0,0,0,0,0,0,0
Few minutes left for Almond #OnePlus7Pro on @amazonIN   Available with #SBI Cash back of ₹2000 and up to 6 months No Cost EMI 💳    Quick hands on to buy it 👇    #OnePlus7 #OnePlus7IsHere #OnePlus7Pro #OnePlus  #WeTheNorth #ShameOnICC #FridayMotivation #FridayFeeling #NBAFinals,eng,hasoc_en_94,0,0,0,0,0,0,0,0,0,0,0,0
AOC asks the FBI why they give white supremacists a pass #Resist #ResistTrump #FuckTrump https://t.co/kZscCJo2jR,eng,hasoc_en_95,0,1,0,0,0,0,0,0,0,0,0,1
@kojikabu @Maggie_Klaus @JoeBiden What it is that we will do anything to get trump the hell out there EXCEPT CHEAT LIKE TRUMP DID!!!!  #FuckTrump #Bluewave2020,eng,hasoc_en_96,1,0,0,0,0,0,1,0,0,0,0,1
@GuidoFawkes What a nasty lot #ToryLeadershipContest contenders have exposed themselves to be!  #ToryLeadershipContest   #BorisJohnsonShouldNotBePM,eng,hasoc_en_99,0,0,0,0,0,0,0,0,0,0,0,0
Marlon Craft - Gang Shit (Official Music Video) https://t.co/jh7QJds6n0 via @YouTube @GOP #FuckTrump #CopsAreTheGang,eng,hasoc_en_100,0,0,0,0,0,0,0,0,0,0,0,0
@BorisJohnson If we want to unite our country- we should commit that anyone who us scared to face a bit of public scrutiny shouldn't be allowed to run for Prime Minister...  #BorisJohnsonShouldNotBePM #BorisJohnson #ToryLeadership #ToryLeadershipDebate #T,eng,hasoc_en_101,0,0,0,0,0,0,0,0,0,0,0,0
Analysis: Sarah Sanders' legacy: The death of the White House press briefing #Resist #ResistTrump #FuckTrump https://t.co/jjU0hqifun,eng,hasoc_en_102,0,1,0,0,0,0,1,0,0,0,0,1
So it looks like the lying incompetent homophobic racist #BorisJohnson will be the next #Tory leader...well at least we’ll get a #GeneralElection eh Boris?  #BorisJohnsonShouldNotBePM #ToryDrugOff #ToryLeadershipContest https://t.co/Ho4HibTo7A,eng,hasoc_en_103,0,0,0,0,0,0,0,0,0,0,0,0
It's not a windmill.  It's not a fan.  It's a wind turbine and it's good for the environment.    #fucktrump https://t.co/jWfqPYuV2Y,eng,hasoc_en_104,0,0,0,0,0,0,0,0,0,0,0,0
@mayukhrghosh This is applaudable move by doctors. They save our lives. We must support them against the voilence. #Savethedoctors  #DoctorsFightBack,eng,hasoc_en_105,0,0,0,0,0,0,0,0,0,0,0,0
This will not work we are not scapegoats.. centre should intervene. .  #DoctorsFightBack @narendramodi @PMOIndia @AmitShah @drharshvardhan,eng,hasoc_en_106,0,0,0,0,0,0,0,0,0,0,0,0
@mkraju Says the guy who killed the tree that Macron gave u for friendship n peace!! #sad #douchebag,eng,hasoc_en_109,0,0,0,0,0,0,1,0,0,0,1,1
@TheRealOJ32 ...You're finally going to admit to something bad you did in the past?    #Juice #THEJUICEISLOOSE  #OJ #Simpson #Golf #course #Killer  Are you #OnTheHunt for the real #Killers?  #Murder #Redrum #Murderer?  #NicoleBrownSimpson #RonGoldman #Adm,eng,hasoc_en_110,0,0,0,0,0,0,0,0,0,0,0,0
#BorisJohnsonShouldNotBePM he is already ducking and diving the 5 friendly candidates...God help us when it comes to to the 27 European countries!! https://t.co/siS59z36pR,eng,hasoc_en_111,0,0,0,0,0,0,1,0,0,0,1,1
1.Death of Dr Payal Tadvi  2.Arresting of Dr kafeel khan  3.72 children die due to insufficient oxygen!  Where were these doctors?  #DoctorsStrike  #DoctorsFightBack #DoctorsProtest #Savethedoctors,eng,hasoc_en_112,0,0,0,0,0,0,1,0,0,0,1,1
#IndianPsychiatricSociety stands by #IndianMedicalAssociation. Condemns #ViolenceAgainstDoctors  #DoctorsFightBack #SolidarityWithNRSMCH #StopViolenceAgainstDoctors @MamataOfficial https://t.co/FIpSvBEdDb,eng,hasoc_en_114,0,0,0,0,0,0,0,0,0,0,0,0
I urge every Indian to send mail to icc at enquiry@icc-cricket.com with this image asking them why he can’t keep the logo on that glove ?   #DhoniKeepTheGlove  #DhoniKeepsTheGlove https://t.co/OYP3eJcGCt,eng,hasoc_en_115,0,0,0,0,0,0,0,0,0,0,0,0
@realDonaldTrump @StateDept @SecPompeo Japan disagrees...they saw something 'flying in' and then hitting the boat. #TrumpIsATraitor https://t.co/ADZvw82uZi,eng,hasoc_en_116,0,0,0,0,0,0,0,0,0,0,0,0
@DesiCryptoHodlr In #India the severity of punishment for Holding just #bitcoin is equivalent the crime done by a #Rapist or a #Murderer Or #money Launderer or extortionist.   Really amazed to see where we are Heading.,eng,hasoc_en_117,0,0,0,0,0,0,0,0,0,0,0,0
@TajinderBagga @fawadchaudhry 2uat @cricketworldcup is doing they have objection on #DhoniKeepsTheGlove,eng,hasoc_en_118,0,0,0,0,0,0,0,0,0,0,0,0
Do your job #Senators #MBS #Murderer https://t.co/L0w7owl9gc,eng,hasoc_en_119,0,0,0,0,0,0,0,0,0,0,0,0
#Trump's Constant Attacks on #FreePress are Merciless Attacks on #Democracy's Foundation #FuckTrump #TrumpFascism #ImpeachTheMF #StopFascism #Drumpf #ResistTrump #FascistTrump #SaveDemocracy #Cult45 #NotMyPresident #StopHate  #DumpTrump #PutinsPuppet #FBR https://t.co/nMKXGqFxMx,eng,hasoc_en_120,1,0,0,0,0,0,0,0,0,0,0,1
@realDonaldTrump @JedediahBila Is there anything our so-called President does other than eating hamberder’s in bed and watching FauxNews while tweeting?    #LockTrumpUp  #ImpeachmentInquiryNow   #ImpeachTrump   #ImpeachBarr   #ImpeachMnuchin  #TrumpIsATra,eng,hasoc_en_121,0,0,0,0,0,0,0,0,0,0,0,0
Meanwhile ....Dhoni's Reply To ICC ......    #DhoniKeepTheGlove #DhoniKeepsTheGlove   #DhoniKeSaathDesh  #dhonigloves #dhoni https://t.co/cEOOw8Kln3,eng,hasoc_en_122,0,0,0,0,0,0,0,0,0,0,0,0
