text,lang,id,polarization,political,racial/ethnic,religious,gender/sexual,other,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation
የመከላከያ እና የአማራ ልዩሃይል ትብብር የአማራ ህዝብ ኢትዮጵያዊ ግዴታ እንጅ የአማራ እና የትግራይ ህዝብ ጦርነት አደለም -,amh,amh_a4017e21d4642db8b5d2562a1d5b7695,1,1,1,0,0,0,1,0,0,0,0,1
@USER አማራ ደጉ ወገኔ። ኢትዬጵያ ሲባል እኮ ምንም ቀልብ የለውም። መስሚያ ማዳመጫ የለውም። የነፍሱ ትርታ ኢትዬጵያ ናትና!!! ለኢትዬጵያ መቼ ወደኋላ ብሎ ያቃል።,amh,amh_de1eda64212bbfb1359fec58b750d7d5,1,1,1,0,0,0,1,0,0,1,0,0
عاجل | حسب صحيفة ليكيب الفرنسية: تم تأجيل كأس أفريقيا 2025، التي كان من المقرر أن تُقام في المغرب، إلى بداية العام 2026، وذلك بسبب تعارضها مع روزنامة كأس العالم للأندية.,arb,arb_c014938e00ef553fb45a831b480c9d6d,0,0,0,0,0,0,0,0,0,0,0,0
أسعار الفواتير ال  بعد الزيادة الجديدة ايه يال حبيب؟,arb,arb_f425bc7f89e76e3953a112f5df89c5d5,0,0,0,0,0,0,0,0,0,0,0,0
شجار بين لاعبي الشباب السعودي والزمالك المصري في مباراة كأس العرب للأندية الأبطال,arb,arb_ea240083705403ad1d839f4c337894f0,0,0,0,0,0,0,0,0,0,0,0,0
أرقام نيمار مع سانتوس خلال 3 أسابيع أفضل من 17 شهرا مع الهلال,arb,arb_d380557a1e7c162fbf0bf8bb8cb7c374,0,0,0,0,0,0,0,0,0,0,0,0
"""ديبسيك"".. زلزال عرضي أم تحول استراتيجي في أسهم الـ AI؟",arb,arb_8421931dbf5d17ebca7533e75a459292,0,0,0,0,0,0,0,0,0,0,0,0
قانون الأمن الغذائي قطعت روحك علي وين صار بله ٢٥ ترليون سرقتوهن وجاي تحجيلي بلفقير ولمضلوم الالعنه الله عليكم اجمعين,arb,arb_d3e69fe5c97b40521cb3ea6a6c8fe612,0,0,0,0,0,0,0,0,0,0,0,0
محكمة التعقيب تؤيد حكم السجن والمراقبة الإدارية ضد راشد الغنوشي,arb,arb_7f12b7a74347dd0e97fb4eb8000925ac,0,0,0,0,0,0,0,0,0,0,0,0
"#العشرية_السوداء صنعت الاستبداد بعد بزوغ نور الحرية و الديمقراطية. 
ازيد من مائتين الف قتيل تحتاج إلى رد الاعتبار .",arb,arb_649bdd51cef9c5dddc114c6ad474f0f9,0,0,0,0,0,0,0,0,0,0,0,0
فلول النظام يا عضو هربوا خارج سوريا . هناك قتل طائفي بالساحل بأمر من السلطة الحاكمة المؤقتة,arb,arb_f37dfc9902e43f94fb786666e5880ece,0,0,0,0,0,0,0,0,0,0,0,0
الدعتور مثله مثل اي حي سوري .. مفعم بالفقر و حافل بالتعتير و مجبول بالطيبة .. القبض على مطلوب لا يحتاج كل هذا العنف القديم الجديد,arb,arb_c09fbf4f64bdde1a4a0dce604c8f7b92,0,0,0,0,0,0,0,0,0,0,0,0
"الصحة العالمية تحذر من ""تزييف"" حقن تقليل الوزن",arb,arb_cb656024ae499f6f387aad6fb45c05cc,0,0,0,0,0,0,0,0,0,0,0,0
ايه الاجالك من كول واحد يهزقك يابنت ستين كلب ملقتيش راجل يلمك,arb,arb_72f53c56af8a8b4c230d00ed886ff636,1,0,0,0,1,1,1,1,1,1,0,1
ليس هناك حشد شعبي وإنما هو حقد شيعي على السنة .,arb,arb_ebe0bae6ae671dd5c5c105dc94173b55,1,0,0,1,0,0,1,0,0,1,0,1
إسمعوا يبتوع التجمع الثالث لازم تفهموا إن دى مش أخلاق عين شمس إحنا بلطجية بس مش لدرجةالعالم أكلة لحوم البشر دول,arb,arb_4f6e187ba4f63fa3022e8afb0f654bdf,1,0,1,0,0,1,1,1,1,1,0,0
أمريكا قتلت بالامس معوق رفض رفع يديه فماذا تريد من الشرطة المصرية أن تفعل عندما تتعامل مع مسلحين معهم متفجرات,arb,arb_ded3468b5ff1e724ee7a6fea9e7e9b31,1,1,1,0,0,0,1,1,0,0,1,1
"هي زعلت لية مش فاهم 
ماهي وكل النسوان بيروحوا الجيم المختلط علشان يتم التحرش بيهم",arb,arb_70ec85371e45ab3806c3401d14c46dfa,1,0,0,0,1,0,1,1,0,1,1,1
مين سائل عنن وين ماكانو يكونو بجهنم تاخدن هم والنصيرية ديدن واحد... منافقين مرتدين يكرهون المسلمين,arb,arb_503f064bd77052039171377f61b4a6a5,1,0,1,1,0,0,1,1,0,1,1,1
شعب جاهل ومتخلف يحب الخير لأمه وأخته دين ذكوري وإحتقار المرأة تسعى وتشتغل مثلها الرجل,arb,arb_5134aff5e639ba63948b404d58ccddd5,1,0,1,1,1,1,1,1,0,1,1,1
الخليجيين يظنوا بانهم افضل من الاخرين بسبب فلوسهم بس لازم يعرفوا بان النخوه و العرووووبه فوق المال و الفلوس بالحذاااااء,arb,arb_303d8816de891f54aefdba7e2c4fe0cf,1,0,1,0,0,0,1,1,0,1,0,1
لعنه الله عليك أو على احمد الشرع,arb,arb_9eb8a241e79b72d03edf44521024475a,1,1,1,0,0,1,0,1,0,1,0,0
لعنه الشعب التونسي الساكت والخانس لعنكم,arb,arb_5ce632d936375dbc64ed86cc7507d9ce,1,1,1,0,0,0,0,1,0,1,0,1
অসৎ লোকেরা ভাসতে ভাসতে একটা সময় ডুবে যায় আর সৎ লোকেরা ডুবতে ডুবতে একটা সময় ভেসে ওঠেএখন সিদ্ধান্ত আপনার সৎ হবেন নাকি অসৎ হবেন,ben,ben_c24c3687ae7dccaf30a435c182dfd378,0,0,0,0,0,0,0,0,0,0,0,0
যে ক্যাপ্টেন আগে বাংলাদেশ ক্রিকেটের প্রাণ ছিলেন এখন উনি সারা দেশের একজন প্রাণের মানুষ হিসেবে নিজেকে তৈরী করছেন কোটি মানুষের ভালবাসার মানুষ এই মাশরাফী বিন মর্তুজা এভাবেই এগিয়ে যান বাংলার মানুষকে ভালোবেসে,ben,ben_6f4a2e24c877f52a4f78b8cd865b74c2,0,0,0,0,0,0,0,0,0,0,0,0
তাউহিদ কাকে বলে আল্লাহ তাআলা এক ও দিতিয় তাহার কোন শরিক নাই তাই তিনি অতলোনিওএই শিক্রির পাশাপাশী জিবনের সকল কর্মকান্ডে এক মাত্র তাহারি অনুগত্য করার নাম বাস্তোব তাওহিদ তাওহিদ ইসলামে মুল বিত্তইসলামের সকল কর্মকান্ডো তাওহিদের উপর প্রতিষ্টিততাওহিদের মধ্যমে মানুষ ইমানের উচ্ছ আশনে আসিন হতে সক্ষম,ben,ben_4f58973ac646117e766ff44e1873502f,0,0,0,0,0,0,0,0,0,0,0,0
আমাদের চাঁদপুর জেলা হাজিগঞ্জ উপজেলা ৬ নং পূর্ব ইউনিয়ন স্বাস্থ্য সেবা হাসপাতালে দীর্ঘদিন স্বাস্থ্যসেবা বন্ধ থাকার পর পরবর্তীতে সরকারিভাবে একজন প্যারামেটিক ডাক্তার আসার পর অনেক ভালো সেবা হয়েছিল এমনকি অনেক নরমাল ডেলিভারিও হয়েছিল কিন্তু দুঃখের বিষয় এলাকার কিছু হাতুড়ি ডাক্তারের কারণে এই সেবা থেকে এলাকার মানুষ বঞ্চিত হইল বর্তমানে হাসপাতালটি বন্ধ অবস্থায় আছে বিষয়টি মাননীয় স্বাস্থ্যমন্ত্রী মহোদয়ের দৃষ্টিতে আনার জন্য অনুরোধ করা হইল,ben,ben_5294e4359b9ba1b2a6fd996b1d7fde69,0,0,0,0,0,0,0,0,0,0,0,0
আমরা যে কমেন্ট করি এই কমেন্টের মূল্য আছে কিনা আমার জানা নেই তাই আর কোন কমেন্ট করি না,ben,ben_91792af3b2d6d80c0166c6d5ab435f73,0,0,0,0,0,0,0,0,0,0,0,0
কাদের কাকু আপনি মাদেরকে এতো এতো খুশির খবর দিচ্ছেন কিন্তু একটা বিষয় বুঝলাম না এতো খুশির সংবাদের মধ্যেও আপনি এবং আপনার ডানে বামে যারা আছে তাদের কারো মুখেই হাসি নেই নেই কোনো খুশির প্রতিচ্ছবি কাকু কারন টা একটু খোলাসা করলে আমরা মুখখ সুখখ মানুষ বুজবার পারতাম,ben,ben_0555b9fcdf6ea925ac8f87a81b4ded17,0,0,0,0,0,0,0,0,0,0,0,0
সালে ভোটার আইডি কার্ড পেলাম এখন পর্যন্ত একটা চেয়ারম্যান মেম্বার এর ভোট ও দিতে পারি নাই আমি কি বাংলাদেশের সাধারণ নাগরিক,ben,ben_b1ca1e8c645ea552507d32e0fadef981,0,0,0,0,0,0,0,0,0,0,0,0
আমি ব্যক্তিগত ভাবে তাদের পরিবার টা কে পছন্দ করি না শেখ তন্ময় এর অসাধারণ প্রতি তার আলাদা একটা মায়া আছে সে,ben,ben_76e156c3aca6a06d341fd8dc3dec0440,0,0,0,0,0,0,0,0,0,0,0,0
আপনার ধর্ম আপনার কর্ম আপনার বর্তমান কর্ম নির্ধারণ করবে আপনার আখিরাত কেমন হবে আপনি কি অর্জন করলেন কি অর্জন করবেন সেটা আপনার একান্ত ব্যক্তিগত বিষয়ে আপনার বিশ্বাস আপনার ব্যক্তিগত বিষয়,ben,ben_62b8ed9c6100302274fa1efa2fcd0932,0,0,0,0,0,0,0,0,0,0,0,0
সুমন ভাই জানিনা মন্তব্য আপনার চোখে পরে কিনাআমি চট্টগ্রাম থেকে বলছি আপনার ওপরে ভিত্তি কর মানুষের অনেক আশাপ্রতিটা ঘরে একটা করে সুমন হউক অনেক অনেক শুভকামনা,ben,ben_0974f4fb453ee894a4f6800231512763,0,0,0,0,0,0,0,0,0,0,0,0
আমার বুঝে আসে না যারা রাসুলুল্লাহ সল্লাল্লাহু আলাইহি ওয়াসাল্লামকে ফিরানসে কার্টুন করার প্রতিবাদে রাজ পথের মানববন্ধন মিছিল করাকে না জায়েজ বলতঅথচ আজ তারই দেখি মানববন্ধন করে এখন কিভাবে জায়েজ হবে আমি নিজে তখন জামাতে ছিলাম প্রতিবাদ মিছিলে আামাকে যেতে দেওয়া হয় নিওটা নাকি না জায়েজ মুনাফেকি,ben,ben_c4fb02a7149e649e7c7e93d5a0d01eae,1,0,0,1,0,0,0,0,0,1,0,1
বাংলাদেশে কি ভালো শিক্ষামন্ত্রী পাবো না যে একটু হলেও মুসলমানকে ভালোবাসবে তার বক্তব্য যদি হয় নূরানী এবং কওমি মাদ্রাসার কারণে শিক্ষার্থী কমে যাচ্ছে সেগুলোকে নিয়ন্ত্রণ করতে হবে তাহলে এখানে নিয়ন্ত্রণ বলতে কি উদ্দেশ্য বুঝানো হয়েছে অবশ্যই নূরানী এবং কওমি মাদ্রাসার ছাত্রছাত্রীদের বাধাগ্রস্ত করা হবে কোন কৌশলে বুঝানো হয়েছে এটাও এক ধরনের ষড়যন্ত্রমূল বক্তব্য বলে ধারণা করা যায়,ben,ben_7a2ad2593ec2feb401271908bfe03188,1,0,0,1,0,0,0,1,0,0,0,1
মূল কথা কেউ বলে না সবাই ভয় পায় ইসরায়েল কেন ফিলিস্তিন দখল করতে চায় এটা সব মুসলমান জানে তবে মিডিয়া সেই কারণ কখনো বলবে না,ben,ben_0f0f968355bb135132da66fb930da72a,1,0,0,1,0,0,1,0,0,0,0,1
প্রথমতমিডিয়ার এই হস্তক্ষেপ ভাল দেখছিনা ইজতেমায়এটা দূর থেকে দেখে বলার জিনিস নাদ্বীনের হাওয়াহেদায়েতের বাতাসকিভাবে সাধারনের মাঝে পৌছে যায় তার জন্য একটা মেহনতএত মানুষ যখন একত্র হয় আল্লাহর দ্বীনকে জিন্দা করার নিয়তে তখন অবশ্যই আল্লাহ রহমতের ছায়া দেনকিন্তু দূর থেকে দেখে জিকির আজগার মনে হবেজিকিরই হচ্ছে তবে আল্লাহর আলোচনাও যে জিকির এটা আগে বুঝতে হবে শেষে এটা আবার বলবমিডিয়া এগুলা বেশি করে কি বোঝাতে চাইছে আমার সন্দেহ থেকেই যায়,ben,ben_885df566c7b53ed65a58a1d7c9e84250,1,0,0,1,0,0,0,0,0,0,1,1
কাদের সাহেব আপনি কি করে চিন্তা করেন যে জনগণ আপনাদেরকে সমর্থন করবে আর আওয়ামি লিগ হাত গুটিয়ে বসে থাকবে,ben,ben_27603196567a71df86c0872ce3a8ed4f,1,1,0,0,0,0,0,0,0,0,0,1
যার ইমানই নাই সে আবার ফুল হয় কিভাবে বিশ্ব জংগীবাদীদের সৃষ্টি নবী সাঃ বিদ্বেষী সাহাবা রাঃ বিদ্বেষী তাকে যতই ফুল বানানোর চেষ্টা করা হবে দুগ্ধ ছড়াবে,ben,ben_f1cbc4051ee28baf6f5e3f86bd0b1c8a,1,0,0,1,0,0,1,1,1,1,0,0
কস কি আমরা সাধারণ মানুষহলে ৷ তোরা কি অসাধারন মানুষ ৷ জয়ী হওয়ার আগেই আমাদের আলাদা করে দিলি,ben,ben_256859c7a2e0f65d76f20cf1abe7d8b6,1,0,0,0,0,1,1,0,0,0,0,1
এ নাস্তিক কোন ধর্মে বিশ্বাসী না যদি ধর্মে বিশ্বাসী হত পবিত্র কুরআনকে অবহেলা করে কথা বলার সাহস করত না কোরআনে ঘোষণা করা হয়েছে আল্লাহর জমিনে আল্লাহর দ্বীন প্রতিষ্ঠা প্রত্যেক ইমানদারের দায়িত্ব,ben,ben_f5823ad1edb82cb0cfbbbfeed5ce2eda,1,0,0,1,0,0,1,1,0,0,0,1
যার বলে ধর্ম যার যার উৎসব সবার তাদের এই কথা কোনো হিন্দু বলে সেকি গরুর গোস খাবে বা ঈদল ফিতর এবং ঈদুল আযহার নামাজ পড়বে আমাদের সাথে আর ধর্ম যার যার উৎসব সবার যদি কোনো মুসলিম বলে সেকি শুয়োরের গোস খাবে,ben,ben_08a7b9009f5b5956efe4c73e778e2c7c,1,0,0,1,0,0,1,0,0,0,0,1
ওবায়দুল কাদের হচ্ছে বাংলাদেশের মানুষের বিনোদন পাগলে কিনা বলে আর ছাগলে কিনা খায় কাউয়া আসলেই কাউয়া রয়ে গেলো কে কে একমত,ben,ben_d7ec780695a1bd06f2d8eb385ba5b1f7,1,1,0,0,0,0,0,1,1,1,0,0
কথা কিন্তু সত্য তুমি যা দেশের টাকার দুর্নীতি করে বিদেশ পাঠাইছে সেটা আমরা বছর কামাই করতে পারবো না,ben,ben_4b31d4dae9117e7191c9125bc6c69d02,1,1,0,0,0,0,0,1,0,0,0,1
এত বড় মিথ্যাচার আল্লাহ আপনাদের কখনও ক্ষমা করবে না একজন সৎ প্রফেসর এর কাছে থেকে জাতি এতবড় মিথ্যাচার জাতী আশা করে নাফখরুল সাহেব,ben,ben_98aebbe3898d9bb0c3df1ac3d044e07c,1,1,0,0,0,0,0,1,0,1,0,1
হিন্দু ধর্ম আসলেই কোন ধর্ম নয় তাদের প্রধান ধর্মগ্রন্থ রিসার্চ করলেই কোন হিন্দু আর হিন্দু থাকে না ভারতের ৬৫ কোটি হিন্দু যাকে ভগবানের মতোই মনে করতো সেই ডঃ শিবশক্তি ১৫২০ টা ভাষায় ডিগ্রী অর্জন করে শেষ পর্যন্ত মুসলমানদের ধর্মী ইসলাম ধর্ম গ্রহণ করেছেন আর একটা সত্যি কথা পৃথিবীর সকল ধর্ম গ্রন্থের মধ্যে একমাত্র আল কোরআন মুখস্থ আছে কোটি কোটি হাফেজের সকল ধর্ম গ্রন্থ নষ্ট হয়ে গেলেও আবারও আল কোরআন লেখা সম্ভব ইনশাআল্লাহ,ben,ben_fe5cae72bb77e6517a06af9811308407,1,0,0,1,0,0,0,1,0,1,0,1
নতুন কারিকুলাম এর শিক্ষা ব্যবস্থা ভবিষ্যৎ জাতির নৈতিকতা ধ্বংসের প্রধান কারণ আসলে ক্ষমতা চিরকাল থাকে না প্রকৃতির কিছু নিয়ম থাকে একদিন না একদিন ঠিকই বুঝবেন এই শিক্ষা ব্যবস্থা মুসলিম কোন দেশের জন্য হতে পারে না এই শিক্ষা ব্যবস্থা মনুষত্ববোধ জাতি গঠন করতে পারবেনা,ben,ben_1587798b0f4e1a32e7fee68462e1ec07,1,0,0,1,0,0,0,1,0,1,0,1
মূল্য কত আল্লার মাল আল্লাহ নিলে মানুষ কেন মূল্য দেবে আর দেবার কি ই বা ক্ষমতা রাখে কথা একটু হুসে বল মালবেশী পেটে পরেছে নাকি,ben,ben_f7fd2e377027f45e3efa9b897d251030,1,0,0,1,0,0,0,1,0,1,0,0
কথা পরিষ্কার ফেসবুকের বাহবা কিংবা ট্রলের উপর ভিত্তি করে ইসলামি আন্দোলন রাজনীতি করে না তাঁরা তাঁদের লক্ষবস্তু ও নীতি আদর্শের উপর ভিত্তি করে পরিকল্পনা অনুযায়ী রাজনীতি করে,ben,ben_efd63229e97bd70cd520ca43c63498da,1,1,0,1,0,0,0,0,0,0,0,1
আবূ বাক্রাহ্ রাঃ থেকে বর্ণিতঃ তা হল নবী সাল্লাল্লাহু আলাইহি ওয়া সাল্লামএর নিকট যখন এ খবর পৌছল যে পারস্যের লোকেরা কিস্রার মেয়েকে তাদের শাসক নিযুক্ত করেছে তখন তিনি বললেনঃ সে জাতি কখনো সফলকাম হবে না যারা তাদের শাসনভার কোন স্ত্রীলোকের হাতে অর্পণ করে ফুটনোটঃ ১৬০ মুসলমানরা যদি সফলতা পেতে চায় তবে তাদেরকে অবশ্যই নারী নেতৃত্ব পরিহার করতে হবে সহিহ বুখারী হাদিস নং ৭০৯৯ হাদিসের মান সহিহ হাদিস,ben,ben_b52045d767dcd97778ca6109c93a7d02,1,0,0,0,1,0,1,0,0,0,0,1
আসলেই কি রোজার উদ্দেশ্য এমন যে বেপর্দা খোলামেলা হয়ে পুরো পরিবার নিয়ে হৈহুল্লোড় করে রেস্টুরেন্টে গিয়ে সেহেরি খেয়ে কোন রকমের নামাজ কালামের তোয়াক্কা না করে শুধু উপোষ করা,ben,ben_03e3287f9d54365e9efaa765f1391691,1,0,0,1,0,0,1,0,0,0,1,1
"Es gibt bereits vereinzelte Einsätze von Bodentruppen in Gaza.
 
 @URL",deu,deu_af0b4794d9566fadd727c4a0a173d10a,0,0,0,0,0,0,0,0,0,0,0,0
Lass dich nicht aufhalten. Es gibt eine ukrainische Fremdenlegion. Da kannst du dich melden.,deu,deu_220c845cb494ff36c74c625687221d42,0,0,0,0,0,0,0,0,0,0,0,0
Klingt für mich nach Long COVID,deu,deu_1e5ac7101d1c2edafb124f1db4c11d2f,0,0,0,0,0,0,0,0,0,0,0,0
Wenn ich schon wieder dieses Woke lese. Der AfD ist sogar unser Grundgesetz zu Woke. Hört auf das Wort so inflationär zu gebrauchen.,deu,deu_c3ca4a9dea1266a3473dced59e8ab25e,0,0,0,0,0,0,0,0,0,0,0,0
"Auch eine Schilddrüsenunterfunktion schwächt das Immunsystem. 
 TSH, fT3 und fT4 Wert testen lassen, falls sie noch andere Symptome einer Unterfunktion hat",deu,deu_974dd2920d18d803e6802674d6a96fc3,0,0,0,0,0,0,0,0,0,0,0,0
CO2 ist gut für Pflanzen,deu,deu_cec21b8b3efa41282a3e4dc6682d1cc2,0,0,0,0,0,0,0,0,0,0,0,0
Wann war die letzte Anti-Islamismus-Demo?,deu,deu_cb726ece5c5d977e875c5dece45835f6,0,0,0,0,0,0,0,0,0,0,0,0
wurde heute von der katze geweckt 🥰,deu,deu_634061dd497056466fd7926eb47ed8ab,0,0,0,0,0,0,0,0,0,0,0,0
Klopapier! Seit Corona gönn ich mir Luxus,deu,deu_50fddbe32551163d735c7a55559def92,0,0,0,0,0,0,0,0,0,0,0,0
"Ja, muss schon wieder Zeit für 5G-Impfung sein",deu,deu_6aeb186a5a0ba8017fb5cc59a5c1d83f,0,0,0,0,0,0,0,0,0,0,0,0
Gibt sogar recht viele Ex-Muslime. Alles sehr vernünftige Leute.,deu,deu_5c26e3769fa46ce9284ba55a5db1cea8,1,0,0,1,0,0,0,0,0,0,0,1
"Das sind keine Extremisten sondern relativ normale Muslime. Extremisten ziehen in den Krieg und enthaupten ""Ungläubige"" (meistens andere Muslime). Normale haben Muslime nur eine strenge Sexualmoral sowie hier.",deu,deu_7fbd93adf06e7036c06fd2d4e4fd50ab,1,1,0,1,0,0,1,1,1,0,0,1
"Nö, aber alle im Ausland lebenden nationalistischen Türken sind irgendwie nach Definition im Ausland lebende Türken und um die wird es vermutlich auch in Threads gehen wo sich einheimische Türken über ""Gurbetçi"" aufregen",deu,deu_baaf292debc0c8b144e9bbad27164f0e,1,1,1,0,0,0,1,1,0,1,0,1
"Was laberst du?
 
 Aufgrund des extrem schnellen Bevölkerungswachstums in größtenteils muslimischen Ländern wird der Anteil der Muslime an der Weltbevölkerung bis 2050 um ca. 5 Prozentpunkte steigen, während der Anteil der Konfessionslosen an der Weltbevölkerung sinkt.
 
 @URL",deu,deu_6c7235cb9c64cd65b8d2e88a1d09dcb2,1,1,1,1,0,0,1,0,0,1,0,1
"Kriegstreiber! Auch ihr, die Propagandapresse!!!",deu,deu_db31993b66196db649d0c5031ddc08b3,1,1,0,0,0,1,1,1,0,1,0,1
Steuerzahler und Juden,deu,deu_e1c991b613cfbd9f8b58591e03032c7b,1,0,1,1,0,0,1,0,1,0,0,0
Ja die Türken leiden sehr stark unter ihrem links grün versifften Erdogan. Muss man wissen. :D,deu,deu_c11a90ff2783b27b686b87b2f7d45648,1,1,1,0,0,1,1,1,0,1,1,0
Die Klima Armee Fraktion wird kommen.,deu,deu_00d194407ca9e342d3970b1119026f53,1,1,0,0,0,1,1,1,0,0,0,1
"Das klingt als wuerdest du hier ein Feminismus-Gotcha aus deiner Wahrnehmung ableiten wo objektiv keines ist. Ich hab noch nie jemandes ernsthaft behauten hoeren das speziell Frauen Kriegstreiber sind, eher das Gegenteil.",deu,deu_81bb3b7698aee91f5a25309aec92705a,1,1,0,0,1,0,1,0,0,1,0,0
"Denk ich nicht, nein. Migration ist deren Kernthema.",deu,deu_c95ea243b5ba4bb4e51e13b0ae57b363,1,1,0,0,0,0,1,0,0,0,0,0
The EU is increasing military aid to Ukraine to one billion euros the press release on the website of the Council of Europe.,eng,eng_dbcee818b240e8ea82a37e5530738aa7,0,0,0,0,0,0,0,0,0,0,0,0
House drafts bill to strike Iran proxies amid IsraelHamas,eng,eng_0fe6a37502da8f89af480449d5352c7f,0,0,0,0,0,0,0,0,0,0,0,0
